nombre,nombre_corto,rol,dialogo
JOSÉ ANTONIO MEADE,Meade,Candidato,"Yo insisto, son tres temas en los que tenemos que trabajar para recuperar tu seguridad. Primero, toda la parte de prevención, esto implica reconstruir nuestras comunidades. Segundo, la parte de presencia, Fuerzas Armadas, policías, evitar que llegue el dinero y el efectivo, y lo tercero, y la más importante es investigar. La gente está cansada de que México no pasa nada cuando falta más violencia, y eso quiere decir que si queremos ser exitosos tenemos que fortalecer la investigación para que haya consecuencias cuando enfrentamos violencia.Si eso no lo hacemos caemos en la paradoja de Andrés Manuel, el suponer que si no hay consecuencias y si no metemos a los delincuentes a la cárcel, o peor aún, si lo sacamos de la cárcel para que regresen a tu comunidad y que vuelvan a hacer daño, ese no es el camino. Los criminales tienen que estar en la cárcel, y aliarse con los criminales, es señal de una voracidad y de una ambición por ganar, que hoy nos preocupa y nos preocupa a todos."
SERGIO SARMIENTO,NA,Moderador,Jaime Rodríguez Calderón.
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Efectivamente creo que el tema de una propuesta de bajar los índices delictivos estriba en esa generación que no tiene oportunidad, en Nuevo León nosotros hicimos y eso en todo el país, todas las prepare las nuevas, las preparaciones que abriremos serán militarizadas, es decir, el Ejército irá a dar clases y eso nos está dando resultados en Nuevo León, hemos bajado el índice y los muchachos están muy contentos, ya tendré oportunidad de platicarlo.Pero aquí sí es, Margarita se ha puesto defender su marido, con toda razón, lo tiene qué hacer, pero ella no gobernó. Margarita, yo no lo defiendas, déjalo, eres hoy candidata independiente y eso es bueno, creo que tenemos que trabajar mucho tú y yo en ese sentido de convencer al ciudadano que no tiene partido. Quienes han generado la violencia y la maldad es la corrupción de quienes hoy gobiernan, y los que gobiernan son parte de los partidos políticos y eso es importante que lo tengamos muy presente."
SERGIO SARMIENTO,NA,Moderador,"Gracias, Margarita Zavala."
MARGARITA ZAVALA,Zavala,Candidato,"Bueno, en primer lugar yo voy a defender todo lo que se haya hecho bien en el país viniendo de quien venga, pero particularmente en seguridad, una de las propuestas que he visto y que hemos visto que funcionan es la intervención de toda, de todo el gobierno por ciudades. Vi a Tijuana cambiar, y a Monterrey cambiar, vi a Ciudad Juárez cambiar, los vi reducir sus niveles de violencia, ¿por qué? Porque hubo presencia del Estado, porque participó la sociedad, el gobierno y la fuerza pública, porque se fueron los delincuentes a la cárcel. Sí, tenemos que intervenir con valentía, con valores, porque intervino también las escuelas, las universidades y la sociedad civil, lo podemos hacer."
SERGIO SARMIENTO,NA,Moderador,Ricardo Anaya.
RICARDO ANAYA,Anaya,Candidato,"Andrés Manuel propone una amnistía, pueden consultar esta página de Internet, ahí pueden ver los videos donde él con toda claridad plantean la amnistía, está en el punto 10 de su plan de seguridad, aunque ahorita quiera cambiar las versiones. Yo quiero advertir primero en Colombia, hace 25 años eso se intentó y se disparó la violencia; se planteó lo mismo en El Salvador, vean lo que ocurrió, se fueron a 108 homicidios por cada 100 mil habitantes, para que nos demos una idea, hoy tenemos 20, es decir, cinco veces más de lo que tenemos en el país. Plantear el perdón a los criminales es una locura que generaría enorme violencia en el país."
SERGIO SARMIENTO,NA,Moderador,Jaime Rodríguez Calderón.
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Hacer una pregunta, Andrés, te hemos estado diciendo ahorita todo lo de la amnistía, ya di si sí o si no, sí la propusiste, no la propusiste, estás de acuerdo en ella, y explícanos cómo, porque finalmente estamos confundiendo al elector y al ciudadano mexicano, y así como eres directo, contéstanosla, creo que vale la pena, no."
SERGIO SARMIENTO,NA,Moderador,"Andrés Manuel, quiere contestar por alusiones personales."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Sí, nada más insistir que el problema nacional de la violencia se originó por la falta de crecimiento económico, de empleo y de bienestar, y que no se puede enfrentar la violencia con la violencia, no se puede apagar el fuego con el fuego, eso es lo que está demostrado con esa estrategia fallida, el mal hay que enfrentarlo haciendo el bien, tiene que haber crecimiento, tiene que haber empleo, se tiene que atender a los jóvenes, que se les ha dado la espalda, que no tienen oportunidad ni de estudio ni de trabajo.Y acerca de la amnistía yo tengo, repito, no quiero presumir, una experiencia exitosa cuando fui jefe de gobierno, porque reduje la incidencia delictiva, y creo que tenemos que hacer todo para garantizar la paz y repito, para que quede claro…"
SERGIO SARMIENTO,NA,Moderador,"Es un minuto, Andrés, pero podemos regresar después, pero nos quedamos con eso de amnistía en la cabeza, podemos regresar. Ricardo Anaya, su turno."
RICARDO ANAYA,Anaya,Candidato,"Andrés Manuel, y aquí pueden corroborar lo que él va a decir, amnistía perdonar a los criminales sí o no, responde sin rodeos."
SERGIO SARMIENTO,NA,Moderador,Andrés Manuel.
RICARDO ANAYA,Anaya,Candidato,"Se trata de que nos reunamos a partir de que vamos a triunfar el día primero de julio y vamos a convocar a personalidades que conocen de la materia, que nos van a ayudar para elaborar conjuntamente un plan y no descartar ninguna opción, ninguna alternativa, y desde luego todos están aquí contra mí, echándome montón. Miren."
SERGIO SARMIENTO,NA,Moderador,"Jaime Rodríguez Calderón y después José Antonio Meade, adelante."
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"No es montón, Andrés, es que dices cada barbaridad, y bueno, a los que dicen barbaridades siempre hay que cuestionarlos, ¿podrás también convocar a los narcos, también los vas a convocar?"
SERGIO SARMIENTO,NA,Moderador,"Tiempo, Jaime Rodríguez Calderón, José Antonio Meade, adelante."
JOSÉ ANTONIO MEADE,Meade,Candidato,"A ver, Andrés Manuel, no hay duda que estás haciendo equipo con los malos, no hay duda que se está sumando a los que están lastimando a la sociedad, y a ellos hay que enfrentarlos, ellos tienen que estar en la cárcel, y te recuerdo, en la Ciudad de México cuando tú gobernabas, el 86% de la ciudadanía se sentía inseguro, cuatro de cada 10 robos de vehículo en el país eran en la ciudad, cuatro de cada 10 secuestros eran en la ciudad. Tu gestión en la ciudad fue un desastre…"
SERGIO SARMIENTO,NA,Moderador,"José Antonio Meade, se le acabó el tiempo y ya es todo el tiempo que tenía, solamente tienen tiempo Margarita Zavala y Ricardo Anaya, ¿alguien quiere empezar?"
SERGIO SARMIENTO,NA,Moderador,Ricardo Anaya.
RICARDO ANAYA,Anaya,Candidato,"Que quede constancia, le hice una pregunta concreta a Andrés Manuel y no quiso contestar, porque engaña a la gente, a cada público le dice lo que quiere oír y como hoy tiene a todos los públicos reunidos no sabe qué decir, gracias."
SERGIO SARMIENTO,NA,Moderador,"Gracias candidato, candidata Margarita Zavala."
MARGARITA ZAVALA,Zavala,Candidato,"Sí, son definiciones y son realmente diferencias de fondo, yo digo que no a la amnistía por respeto a la ley, que es el bien, por respeto a tu seguridad, que es el bien, por respeto a las víctimas, por eso digo no a la amnistía. Y claro que se combate el mal y se combate con el bien, sí, con la presencia del Estado, con todos integralmente, porque no vamos a tener un México en paz si no lo tenemos seguro, si tú no tiene seguros a tus hijos, a tus padres, a tus amigos."
SERGIO SARMIENTO,NA,Moderador,"Gracias candidatos, con esto cerramos el segmento dos y la discusión sobre seguridad pública y violencia. Denise, adelante."
DENISE MAERKER,NA,Moderador,"Gracias, Sergio. Vamos con el bloque dos: combate a la corrupción e impunidad. En el primer segmento se hace una pregunta inicial para todos los candidatos.Que la corrupción mata, que la corrupción frena el crecimiento, que fomenta el crecimiento de la inseguridad y la violencia, que destruye la confianza en las instituciones, que agudiza la desigualdad -retomo frases que han dicho todos ustedes- y sin embargo a pesar de que pertenecen o pertenecieron a los partidos que nos han gobernado local y nacionalmente, cada vez nos percibimos y se nos percibe como un país más corrupto. Es uno de los principales reclamos de la ciudadanía y la pregunta es: ¿Qué proponen para combatir la corrupción y que tenga un efecto concreto en el corto plazo?Iniciamos con el candidato José Antonio Meade, candidato con esta pregunta general adelante."
JOSÉ ANTONIO MEADE,Meade,Candidato,"Gracias Denise. Lo que más nos indigna como sociedad es la corrupción, y nos indigna todavía más que no se castigue. En mi familia me educaron en valores, no basta con hablar de honestidad, hay que ser honesto y demostrarlo.En mi gobierno no habrá ni estafas maestras, ni moches, ni ligas, ni escándalos ni naves industriales. Propongo para acabar con la impunidad cuatro cosas:Primero, seré un presidente sin fuero punto, el Ministerio Público será autónomo, no más ministerios públicos de consigna. Dos, la siete de siete será obligatoria. No declarar el patrimonio, comprobarlo. Tres, el SAT, a la Secretaría de Hacienda y el INE tendrán que ser parte del Sistema Nacional Anticorrupción. Cuatro, habrá total transparencia y contratos abiertos. Yo reitero: no tengo componendas con ninguna persona, mi único compromiso es contigo."
DENISE MAERKER,NA,Moderador,"Candidato, lo ha dicho, ha sido Secretario de Relaciones Exteriores, de Hacienda en dos ocasiones y de Desarrollo Social y estamos hablando de esta corrupción sistémica. ¿Se puede ser un político limpio –y sin ponerlo en duda –impoluto, en medio de un lodazal?"
JOSÉ ANTONIO MEADE,Meade,Candidato,"Se puede y hay muchos, hay millones de servidores públicos que se levantan todos los días pensando cómo ayudarle al país. Y además se puede acreditar esa limpieza, y no es difícil, basta con declarar el patrimonio y comprobarlo. Yo aquí he hecho una invitación a que se presente la `7 de 7`. ¿Qué quiere decir y por qué no la han presentado? La `7 de 7` implica que el patrimonio que declaré coincida con la realidad. Andrés no lo ha presentado porque su `3 de 3` no refleja tres departamentos que sí están en el Registro Público de la Propiedad. Y Ricardo no lo ha presentado porque su estilo de vida supera lo que reveló en la `3 de 3`."
DENISE MAERKER,NA,Moderador,"¿Qué ocurrió mal? ¿Qué se hizo mal en este gobierno del que usted formó parte tan centralmente, como lo decíamos, en tres secretarías, cuando la corrupción pasó a ser uno de los principales reclamos de la ciudadanía y eso sale en cualquier encuesta que consultemos?"
JOSÉ ANTONIO MEADE,Meade,Candidato,"Cada vez que en el país hay algo que está funcionando mal, tenemos que revisar qué instrumentos tenemos que darles a las instituciones para que funcionen mejor?"
DENISE MAERKER,NA,Moderador,¿Y qué no se hizo?
JOSÉ ANTONIO MEADE,Meade,Candidato,"Primero, seguimos en el mundo de la Declaración Patrimonial y no de la congruencia. Eso se puede corregir, no es difícil revisar qué se declaró con evidencia pública de la riqueza. Segundo, los ministerios públicos tienen que ser autónomos. Y autónomos quiere decir que puedan llamar a cuentas a quien sea. Yo he planteado ser un Presidente sin fuero y que el Ministerio Público tenga la capacidad de mandarme llamar a mí. Tercero, y muy importante, Hacienda, el SAT, el propio INE tienen que estar metidos en el combate a la corrupción, eso no se ha hecho. Y todos los contratos tienen que ser transparentes. Eso se hizo un mes antes de que yo saliera de la Secretaría de Hacienda."
DENISE MAERKER,NA,Moderador,"Bueno, gracias, tiempo, gracias. Azucena."
AZUCENA URESTI,NA,Moderador,"Gracias, Denise. Candidato Jaime Rodríguez Calderón, pregunta general, ¿qué propone para combatir la corrupción y que tenga un efecto concreto en el corto plazo?"
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,": Primero, que gobierne un Presidente independiente y que los diputados que van a ser de Andrés, de Anaya, de Meade y de Margarita puedan ser autónomos y que no dependan del Congreso para que también puedan aprobar esta iniciativa. Un Fiscal autónomo; pero electo por la sociedad, no decidido por los partidos. Hoy no se han puesto de acuerdo, ahorita lo dije, porque por eso no tenemos un Fiscal autónomo en este momento. Tenemos que mocharle la mano al que robe, así de simple. Yo presentaré una iniciativa al Congreso, a ver si los diputados de ellos se atreven a aprobarla. Necesitamos mocharle la mano al que robe en el servicio público. Eso no es malo, países que han salido de esa corrupción lo han hecho. La única forma de lograrlo es poniendo ejemplos. Yo creo que esto es una parte importante, tenemos que ir más allá de lo que ya hicimos."
AZUCENA URESTI,NA,Moderador,"No habla literalmente, ¿o sí, candidato?"
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Sí, claro, claro."
AZUCENA URESTI,NA,Moderador,¿Mocharle la mano literalmente?
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,Literalmente.
AZUCENA URESTI,NA,Moderador,"A ver, explíqueme, por favor."
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,Al que robe hay que mocharle la mano. Hay que presentar una iniciativa para que los diputados aprueben esta sanción.
AZUCENA URESTI,NA,Moderador,Cortarle la mano a los delincuentes.
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,Claro.
AZUCENA URESTI,NA,Moderador,Eso es lo que usted va a proponer en el Congreso.
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Así es, así es."
AZUCENA URESTI,NA,Moderador,"Bien. Usted, candidato, fue el primer Gobernador independiente en todo México. Los ciudadanos de Nuevo León lo eligieron con casi el 50% de la votación, muchos de ellos comprando la promesa de campaña y después, de gobierno, de castigar los actos de corrupción de la anterior administración encabezada por Rodrigo Medina de la Cruz. Hoy los ciudadanos perciben que no ha pasado nada, de hecho no hay nadie en prisión. ¿Qué garantía podría dar de combatir la corrupción con este antecedente, candidato?"
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,Metimos a la cárcel a Rodrigo Medina y un Juez Federal…
AZUCENA URESTI,NA,Moderador,24 horas.
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Sí, pero un Juez Federal, y eso depende del sistema. Hoy cualquier abogado, cualquier juez, y no hemos tocado eso, eh, los jueces tienen un nivel de corrupción mucho mayor al servidor público, eso es importante que lo tengamos que ver porque cualquier abogado puede comprar un amparo en este país y puede lograr sacar a cualquier delincuente, de cuello blanco o del fuero común. Tenemos que modificar eso, yo, en Nuevo León hay 29 funcionarios del anterior gobierno vinculados a delito y con órdenes de aprehensión, pero todo andan con un amparo bajo el brazo."
AZUCENA URESTI,NA,Moderador,"Déjeme preguntarle, candidato, usted llega además aquí sumamente cuestionado, con señalamientos que hacen dudar a muchos de la legitimidad de su candidatura. ¿Cómo se pide el voto con este antecedente?"
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Bueno, porque lo ilegitimó el INE, que lo pusieron ellos. Resulta que hoy una periodista prestigiada dice que tenemos gestores del PRI y también puede ser que tengamos gestores de Morena o del PAN o de cualquier otro. El periódico El Norte, el periódico Reforma incluyó gestores en mi organización, y eso no puede ser posible que el INE, que aquí están los consejeros, lo hayan permitido."
AZUCENA URESTI,NA,Moderador,Usted sostiene que su candidatura es legítima.
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,Totalmente y se lo vamos a demostrar al INE.
AZUCENA URESTI,NA,Moderador,"Candidato, ¿la mentira es una forma de corrupción?"
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Sí, totalmente."
AZUCENA URESTI,NA,Moderador,¿Usted ha mentido?
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,A veces.
AZUCENA URESTI,NA,Moderador,Por ejemplo.
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,Pues le dije a mi mujer que la iba a llevar al cine y no pude llevarla.
AZUCENA URESTI,NA,Moderador,¿Prometerles a los neoleoneses quedarse seis años en el cargo y no cumplirlo es una mentira?
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Sí, y lo estoy afrontando y estoy pagando las consecuencias."
AZUCENA URESTI,NA,Moderador,"Le agradezco, candidato. Andrés Manuel López Obrador, pregunta general, ¿qué propone para combatir la corrupción y que tenga un efecto en el corto plazo?"
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"La corrupción es el principal problema de México, nada ha dañado más al país que la deshonestidad y a los gobernantes. Se roban, los políticos corruptos y los traficantes de influencia, alrededor de 500 mil millones de pesos al año del presupuesto. No hay ninguna banda que robe tanto. Estos que presentan como los grandes delincuentes, son niños de pecho en comparación con los políticos corruptos del país. Nosotros vamos a acabar con la corrupción. Una vez le preguntaron a Peña que si qué opinaba de la corrupción y contestó que la corrupción era parte de la cultura del pueblo de México. Yo no estoy de acuerdo con eso, en nuestro pueblo hay una gran reserva de valores culturales, morales, espirituales, el pueblo de México es bueno, es trabajador y es honesto y vamos a regenerar la vida pública."
AZUCENA URESTI,NA,Moderador,"Candidato, partiendo de que para los mexicanos la corrupción es uno de los temas más preocupantes sólo después de la inseguridad y que México está en los primeros lugares de los rankings nacionales e internacionales, por ejemplo, el Índice de Percepción de la Corrupción, lugar 135 de 180 ¿En su sexenio qué hará para ponernos, al menos, a la mitad de la tabla?"
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Gobernar con el ejemplo, si el presidente corrupto, los gobernadores van a ser corruptos, los presidentes municipales también. Vamos a limpiar de corrupción el gobierno de arriba para abajo como se barren las escaleras, vamos también a terminar con todos los privilegios que hay en el Gobierno.Para que el Gobierno esté al servicio de la mafia del poder, les pagan muy bien, gratifican muy bien a los altos funcionarios públicos que se dan la gran vida, vamos a reducir los sueldos de los de arriba porque vamos a aumentar los sueldos de los de abajo y si esto es ser populista, que me apunten en la lista.Vamos a también a vender el avión presidencial el que no lo tienen y Donald Trump, ya ven que Trump es muy presumido, pues no tiene un avión como el de Peña que costó 7 mil 500 millones de pesos, ya le mandé ofrecer el avión a Donald Trump y vamos vender toda la flotilla…"
AZUCENA URESTI,NA,Moderador,"¿Y le contestó algo, le contestó algo?"
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,Estoy esperando la respuesta.Ya también he dicho que vamos a vender toda la flotilla de aviones y de helicópteros del Gobierno. No puede haber Gobierno rico con pueblo pobre.
AZUCENA URESTI,NA,Moderador,"Candidato déjeme preguntarle qué cambiaría en su persona para ser un mejor Presidente, en una autocrítica sincera."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,Voy a ganar menos de la mitad de lo que recibe…
AZUCENA URESTI,NA,Moderador,"¿Pero en su persona qué cambiaría, en su persona?"
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"No permitir la corrupción, la impunidad, no permitir…"
AZUCENA URESTI,NA,Moderador,"Gracias. No permitir el influyentismo. Gracias candidato.Ricardo Anaya, usted pidió la palabra."
RICARDO ANAYA,Anaya,Candidato,"Yo quiero señalar otro engaño de Andrés Manuel porque él dice que va a gobernar con el ejemplo y que con eso se va a acabar la corrupción, pero acuérdense, esto lo conoce todo mundo, cuando fue jefe de Gobierno, sus más cercanos colaboradores, Ponce, Bejarano, Imaz, recibiendo fajos de billetes en efectivo y si su ejemplo es tan potente ¿por qué no pudo contagiar a su secretario particular, a su secretario de Finanzas, al delegado de Tlalpan? Y va a decir, `bueno, pero acabaron en la cárcel`, mentira, acabaron, miren dónde en su campaña en este proceso electoral."
AZUCENA URESTI,NA,Moderador,"¿Quiere utilizar alguna de sus réplicas, candidato Andrés Manuel? No, se la guarda, muy bien.Vamos con usted, José Antonio Meade."
JOSÉ ANTONIO MEADE,Meade,Candidato,"Andrés Manuel no nos ha querido decir de qué ha vivido los últimos 15 años y la respuesta es bastante fácil, convirtió a Morena en un partido familia, 3 mil millones de pesos en los últimos tres años respecto de los cuales no ha rendido cuenta, ahí cobran todos sus hijos, parte de sus hermanos y ahí le carga todos los gastos y Andrés Manuel, en un avión privado, la semana pasada, de una gente vinculada con delincuencia organizada, un avión que no podías haber entrado y cuya factura, en consecuencia…"
AZUCENA URESTI,NA,Moderador,"Muy bien, gracias, gracias candidato.Candidato López Obrador si quieres responder me indica, por favor, si no vamos con usted Jaime Rodríguez Calderón."
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Nomás  preguntarle a Andrés y cómo estás vendiendo lo que todavía no es tuyo, o sea, cómo estás ofreciendo lo que todavía no es tuyo, todavía no ganas la elección y todavía faltan más de 70 días, para que estés ofreciendo lo que todavía no es suyo, eso implica, y se dan cuenta mexicanos, que la soberbia de las personas va más allá de eso.Quiero un poquito preguntarte, Ricardo, ¿y si se van a aliar ustedes, tú y Meade?"
AZUCENA URESTI,NA,Moderador,"¿Quiere responder, candidato, quiere responder candidato López Obrador?"
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,Sí.
AZUCENA URESTI,NA,Moderador,"Adelante, una de sus dos réplicas."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Pues esta es la última encuesta, no es para presumir, humildemente, pobremente, 48%..."
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Ivonne tenía 42, le gane."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,Tiene que pasar algo terrible y yo creo que este debate lo vamos a ganar y vamos a subir. Esa es mi réplica.
AZUCENA URESTI,NA,Moderador,Le agradezco candidato.Margarita Zavala.
MARGARITA ZAVALA,Zavala,Candidato,"Sí, a mí me gustaría con Andrés Manuel que nos dijera realmente las medidas porque la corrupción o se acaba por decreto, ni por actos meramente voluntarios, se acaba con instituciones y con leyes, que eso es lo que tenemos que generar en nuestro país. Ya en mi intervención completa lo estaré diciendo, pero me preocupa que todo sea a través de medidas que no tiene ningún sentido en términos de corrupción."
AZUCENA URESTI,NA,Moderador,Gracias candidata.Adelante Sergio.
SERGIO SARMIENTO,NA,Moderador,"Gracias Azucena.Y precisamente llegamos a Margarita Zavala con la pregunta general, la pregunta, la reiteró, es: ¿Qué propone usted para combatir la corrupción y que tenga un efecto concreto en el largo plazo?"
MARGARITA ZAVALA,Zavala,Candidato,"Yo tengo el valor y los valores para defenderte de la corrupción, para defenderte de, defenderte de los políticos corruptos que hacen que no lleguen las mediciones a las clínicas, que hacen que las escuelas estén mal, que hace que no se les pague a las enfermeras y es que la política se, es una tarea humana para servir y para generar el bien común.Desgraciadamente la política se ha sometido al dinero y particularmente al dinero público, por eso estamos hablando de ligas, de casinos, de estafas maestras, de lavado de dinero, de naves industriales y tenemos que regresarle dignidad a la política y, por supuesto, atacar la corrupción.Déjame hablarte de tres propuestas claras: primero, voy a ser implacable contra los corruptos, implacable contra los corruptos porque yo quiero que tu gobierno no te dé vergüenza; segundo, voy a cerrar a los, voy a cerrar los espacios de la corrupción para que ser honesto no sea un acto heroico."
SERGIO SARMIENTO,NA,Moderador,"Candidata Zavala, yo sé que la candidata es usted y no su esposo, Felipe Calderón, pero sería omiso sino señalara que la corrupción no desapareció en el sexenio de Felipe Calderón ¿Se equivocó el entonces presidente en alguna medida? Porque finalmente pues él anunciaba medidas similares a las que usted está proponiendo."
MARGARITA ZAVALA,Zavala,Candidato,"Bueno, en primer lugar los casos de corrupción que se dan ahorita, que son indignantes y lo que primero tendríamos que hablar también en este caso la otra cara de la corrupción, que es la impunidad, pues los casos que se dieron de corrupción han tenido sus consecuencias y se han deslindado las responsabilidades.Ahora namás  quería, en el tercer punto, que para mí es muy importante señalar lo, el tercer punto es fortalecer una cultura de legalidad, es decir, de respeto a la ley y con ello la impunidad, por supuesto, que tenemos que acabar con ella."
SERGIO SARMIENTO,NA,Moderador,¿Cuáles deben ser las reglas para escoger al nuevo fiscal general y al fiscal anticorrupción?
MARGARITA ZAVALA,Zavala,Candidato,"Parte de ser implacables contra la corrupción y cerrar los espacios a la corrupción es consolidar al Sistema Nacional Anticorrupción. Yo propongo, como bien he propuesto, fiscalía que sirva con la reforma constitucional. Lo hice desde un principio, una fiscalía general autónoma, independiente, con un nuevo diseño, no el de la PGR, sino un nuevo diseño para que tenga realmente independencia en la investigación y en el análisis. Y no sólo una fiscalía general, sino las 32, y por supuesto, una fiscalía anticorrupción. Y al mismo tiempo sí tenemos que trabajar por la cultura de la legalidad, porque tenemos que lograr que el que le va bien, que busca el bien, le vaya bien, así de sencillo, así de difícil."
SERGIO SARMIENTO,NA,Moderador,"Ricardo Anaya, adelante con su réplica."
RICARDO ANAYA,Anaya,Candidato,"Gracias, ahí les va otro engaño de López Obrador, ¿te acuerdas de este libro? Lo escribiste tú y dices que Fobaproa fue el saqueo más grande de la historia desde que digamos, existe el México independiente. Resulta que muchos de los que aprobaron esto, que tú dices que es un saqueo, son tus candidatos de Morena, Miguel Ángel Navarro, precandidato en Nayarit, al Senado, y en la página 33 acusas a Pancho Romo de ser corrupto y anunciaste que va a ser el jefe de tu gabinete, ¿por qué no explicas la contradicción?"
SERGIO SARMIENTO,NA,Moderador,"Ricardo Anaya, gracias.Denise."
DENISE MAERKER,NA,Moderador,"Gracias, para pasar a la siguiente, bueno, voy con la pregunta general con Ricardo Anaya, la pregunta general, nada más recupero la última parte, ¿qué propone para combatir la corrupción y que tenga un efecto concreto en el corto plazo?"
RICARDO ANAYA,Anaya,Candidato,"Primero coincido con tu primera afirmación, pues la corrupción mata, ahí está el caso de socavón donde perdieron la vida un padre y un hijo, el caso de Javier Duarte, que administraba agua destilada a niños con cáncer para robarse el dinero. He recorrido todo el país, y los reclamos son siempre los mismos, no hay medicinas suficientes en los hospitales, los jóvenes dejado de estudiar porque no tienen acceso a una beca, el campo abandonado y la respuesta es `es que no hay presupuesto?`, No, sí hay dinero, el problema es que se roban el presupuesto público.Propuestas concretas, uno, reformar el artículo 108 constitucional para que Presidente de la República sí pueda ser juzgado durante el tiempo de su encargo por hechos de corrupción. Segundo, eliminar el uso de efectivo en todas las transacciones del gobierno, como ya lo han hecho muchos países. Tercero: cárcel y muerte civil a los corruptos, acto grave de corrupción, no vuelve a participar jamás en un cargo público."
DENISE MAERKER,NA,Moderador,"Candidato, el PRI no tiene el monopolio de la corrupción, los partidos que lo postulan, el Frente de postulan el PRD, PAN, Movimiento Ciudadano, ha sido parte de la corrupción sistémica que ha desprestigiado la democracia mexicana y que forma parte de esta, digamos, desencanto de los mexicanos.No solamente los partidos, sino también usted ha sido señalado por sus oponentes por haber obtenido un bien, digamos, haber obtenido un bien y a partir de la venta de ese bien unos beneficios de los cuales no ha transparentado, por ejemplo, elementos concretos como el crédito hipotecario que le permitió hacerse de ese bien, ¿qué nos puede decir?"
RICARDO ANAYA,Anaya,Candidato,"Dos cosas, primero, no sé si lo sepas, Denise, pero no existe absolutamente ninguna acusación en mi contra, todo ha sido completamente mediático. Aquí está la sentencia del Tribunal, que da cuenta de que utilizaron a la PGR de manera facciosa y de manera ilegal para dañarlo. Yo puedo ver a la gente a los ojos y decirles con toda claridad que siempre me he conducido con honestidad. Regreso a mis propuestas."
DENISE MAERKER,NA,Moderador,"Sobre el tema específico, nada más, porque proponía el de un gobierno transparente, incluso ha hablado de estos gobiernos en donde toda la información y todas las transacciones se pueden seguir para que haya una claridad absoluta.En el tema, por ejemplo, de que usted no haya dado a conocer todos los datos sobre este crédito hipotecario, creo que se podía llevar a cabo en un país como el que propone, incluso, países que existen ya en donde la información es pública de lado a lado, ciudadanos y funcionarios."
RICARDO ANAYA,Anaya,Candidato,"Es que otra vez, Denise, lamentablemente se ha construido una historia de mentiras. En la página de Internet que puse, en este momento le pido a mi equipo que suban los documentos que son públicos, ahí está el crédito hipotecario y cualquiera lo puede consultar. Es absolutamente falso que esa información no esté disponible.Ahora, regreso a las propuestas, he planteado cárcel y muerte civil a los corruptos, quien cometa un acto de corrupción, nunca más puede volver a trabajar en el gobierno. Eliminar el fuero, apenas se eliminó en la Cámara de Diputados, tiene que pasar por el Senado y por las legislaturas de los estados y fundamental, una fiscalía general, y una fiscalía anticorrupción absolutamente autónomas e independientes, para que puedan también juzgar, perseguir al propio Presidente de la Pública, que la regla general deje de ser el político corrupto se sale con la suya y la nueva regla sea que el que la hace la paga."
DENISE MAERKER,NA,Moderador,¿Por qué no se han puesto de acuerdo sobre la fiscalía?
RICARDO ANAYA,Anaya,Candidato,"Pues porque el PRI quiere un fiscal a modo, siempre es el mismo problema. Nosotros estamos listos para un fiscal independiente."
DENISE MAERKER,NA,Moderador,Margarita Zavala.
